75 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 36, 8, 0 ]
76 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 36, 8, 0 ]
77 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 36, 8, 0 ]
78 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 36, 9, 0 ]
79 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 36, 9, 0 ]
80 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 36, 9, 0 ]
81 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 36, 10, 0 ]
82 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 37, 10, 0 ]
83 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 37, 10, 0 ]
84 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 37, 10, 0 ]
85 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 37, 10, 0 ]
86 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 37, 10, 0 ]
87 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 38, 10, 0 ]
88 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 38, 10, 0 ]
89 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 39, 10, 0 ]
90 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 40, 10, 0 ]
91 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 41, 10, 0 ]
92 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 41, 10, 0 ]
93 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 42, 10, 0 ]
94 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 42, 10, 0 ]
95 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 43, 10, 0 ]
96 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 43, 10, 0 ]
97 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 43, 10, 0 ]
98 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 44, 10, 0 ]
99 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 44, 10, 0 ]
100 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 45, 10, 0 ]
101 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 46, 10, 0 ]
102 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 47, 10, 0 ]
103 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 48, 10, 0 ]
104 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 49, 10, 0 ]
105 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 49, 10, 0 ]
106 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 50, 10, 0 ]
107 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 51, 10, 0 ]
108 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 52, 10, 0 ]
109 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 53, 10, 0 ]
110 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 54, 10, 0 ]
111 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 54, 10, 0 ]
112 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 55, 10, 0 ]
113 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 56, 10, 0 ]
