77 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 59, 0, 1 ]
78 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 60, 0, 1 ]
79 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 61, 0, 1 ]
80 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 61, 0, 1 ]
81 / 100: [ 2, 0, 1, 0, 0 ], [ 0, 61, 0, 1 ]
82 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 62, 0, 1 ]
83 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 62, 0, 1 ]
84 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 63, 0, 1 ]
85 / 100: [ 2, 0, 0, 2, 0 ], [ 0, 63, 0, 2 ]
86 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 63, 0, 2 ]
87 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 64, 0, 2 ]
88 / 100: [ 2, 0, 1, 0, 0 ], [ 0, 64, 0, 2 ]
89 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 64, 0, 2 ]
90 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 65, 0, 2 ]
91 / 100: [ 2, 1, 1, 0, 0 ], [ 0, 65, 1, 2 ]
92 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 66, 1, 2 ]
93 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 67, 1, 2 ]
94 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 67, 1, 2 ]
95 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 68, 1, 2 ]
96 / 100: [ 2, 0, 2, 0, 0 ], [ 0, 68, 2, 2 ]
97 / 100: [ 2, 0, 0, 2, 0 ], [ 0, 68, 2, 3 ]
98 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 69, 2, 3 ]
99 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 69, 2, 3 ]
100 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 70, 2, 3 ]
<[ 2, 1, 0, 0, 0 ], 3>
<[ 2, 0, 0, 0, 0 ], 19>
<[ 2, 0, 0, 2, 0 ], 3>
<[ 2, 0, 2, 0, 0 ], 1>
<[ 2, 2, 0, 0, 0 ], 70>
<[ 2, 0, 1, 0, 0 ], 3>
<[ 2, 1, 1, 0, 0 ], 1>
